GJAHR	WBS3	TXT_WBS3	INV_TYP	INV_TYP_TXT	WBS1	TXT_WBS1	PLFAZ	PLSEZ	WAERS	USR06	USR07	WBS2	TXT_WBS2	KOKRS	TXT_KOKRS	BUKRS	TXT_BUKRS	GSBER	TXT_GSBER	PRCTR	TXT_PRCTR	USR08	USR02	USR00	USR01	USR00_1	USR00_2	USR00_3	USR00_4	ZZUSRCURR_01	KOSTL	TXT_KOSTL	ANLKL	TXT_ANLKL	WW000	TXT_WW000	WW100	TXT_WW100	WW129	TXT_WW129	KALSM	TXT_KALSM	USR11	USR10	PLN_S00_01	PLN_S00_02	PLN_S00_03	PLN_S00_04	PLN_S00_05	PLN_S00_06	PLN_S00_07	PLN_S00_08	PLN_S00_09	PLN_S00_10	PLN_S00_11	PLN_S00_12	PLN_V00_01	PLN_V00_02	PLN_V00_03	PLN_V00_04	PLN_V00_05	PLN_V00_06	PLN_V00_07	PLN_V00_08	PLN_V00_09	PLN_V00_10	PLN_V00_11	PLN_V00_12	PLN_E00_01	PLN_E00_02	PLN_E00_03	PLN_E00_04	PLN_E00_05	PLN_E00_06	PLN_E00_07	PLN_E00_08	PLN_E00_09	PLN_E00_10	PLN_E00_11	PLN_E00_12	BDG_B00_01	BDG_B00_02	BDG_B00_03	BDG_B00_04	BDG_B00_05	BDG_B00_06	BDG_B00_07	BDG_B00_08	BDG_B00_09	BDG_B00_10	BDG_B00_11	BDG_B00_12	BDG_B01_01	BDG_B01_02	BDG_B01_03	BDG_B01_04	BDG_B01_05	BDG_B01_06	BDG_B01_07	BDG_B01_08	BDG_B01_09	BDG_B01_10	BDG_B01_11	BDG_B01_12	BDG_CHG_01	BDG_CHG_02	BDG_CHG_03	BDG_CHG_04	BDG_CHG_05	BDG_CHG_06	BDG_CHG_07	BDG_CHG_08	BDG_CHG_09	BDG_CHG_10	BDG_CHG_11	BDG_CHG_12	ACT_APPR_01	ACT_APPR_02	ACT_APPR_03	ACT_APPR_04	ACT_APPR_05	ACT_APPR_06	ACT_APPR_07	ACT_APPR_08	ACT_APPR_09	ACT_APPR_10	ACT_APPR_11	ACT_APPR_12	ACT_UNAP_01	ACT_UNAP_02	ACT_UNAP_03	ACT_UNAP_04	ACT_UNAP_05	ACT_UNAP_06	ACT_UNAP_07	ACT_UNAP_08	ACT_UNAP_09	ACT_UNAP_10	ACT_UNAP_11	ACT_UNAP_12	ACT_AGAP_01	ACT_AGAP_02	ACT_AGAP_03	ACT_AGAP_04	ACT_AGAP_05	ACT_AGAP_06	ACT_AGAP_07	ACT_AGAP_08	ACT_AGAP_09	ACT_AGAP_10	ACT_AGAP_11	ACT_AGAP_12	ACT_AGUN_01	ACT_AGUN_02	ACT_AGUN_03	ACT_AGUN_04	ACT_AGUN_05	ACT_AGUN_06	ACT_AGUN_07	ACT_AGUN_08	ACT_AGUN_09	ACT_AGUN_10	ACT_AGUN_11	ACT_AGUN_12
2023	R.23.1100.01-003-003	슈즈멀티샵 3MD	R	3. 리뉴얼(MD개편포함)	R.23.1100.01	본점 23년  MD 개편	2023	2023	KRW	234000000	234000000	R.23.1100.01-003	4층	S000		1000	신세계	1100	본점	P100	손익센터-백화점	20231231	신관 4F	공사비_인테리어_기타		공사비	인테리어	기타			1100A001	본점_공통	00000120	인테리어																																																																																																																																		
2023	R.23.1100.01-003-002	슈즈멀티샵 2MD	R	3. 리뉴얼(MD개편포함)	R.23.1100.01	본점 23년  MD 개편	2023	2023	KRW	234000000	234000000	R.23.1100.01-003	4층	S000		1000	신세계	1100	본점	P100	손익센터-백화점	20231231	신관 4F	공사비_인테리어_기타		공사비	인테리어	기타			1100A001	본점_공통	00000120	인테리어																																																																																																																																		
2023	R.23.1100.01-003-001	아디다스 BCS	R	3. 리뉴얼(MD개편포함)	R.23.1100.01	본점 23년  MD 개편	2023	2023	KRW	234000000	234000000	R.23.1100.01-003	4층	S000		1000	신세계	1100	본점	P100	손익센터-백화점	20231231	신관 4F	공사비_인테리어_기타		공사비	인테리어	기타			1100A001	본점_공통	00000120	인테리어																																																																																																																																		
2023	R.23.1100.01-002-002	발효:곳간	R	3. 리뉴얼(MD개편포함)	R.23.1100.01	본점 23년  MD 개편	2023	2023	KRW	234000000	234000000	R.23.1100.01-002	B1	S000		1000	신세계	1100	본점	P100	손익센터-백화점	20231231	신관 B1	공사비_인테리어_기타		공사비	인테리어	기타			1100A001	본점_공통	00000120	인테리어																																																																																																																																		
2023	R.23.1100.01-002-001	익스프레스쓱 철거 매장화	R	3. 리뉴얼(MD개편포함)	R.23.1100.01	본점 23년  MD 개편	2023	2023	KRW	234000000	234000000	R.23.1100.01-002	B1	S000		1000	신세계	1100	본점	P100	손익센터-백화점	20231231	신관 B1	공사비_인테리어_기타		공사비	인테리어	기타			1100A001	본점_공통	00000120	인테리어																																																																																																																																		
2023	R.23.1100.01-001-002	에르메스	R	3. 리뉴얼(MD개편포함)	R.23.1100.01	본점 23년  MD 개편	2023	2023	KRW	234000000	234000000	R.23.1100.01-001	1층	S000		1000	신세계	1100	본점	P100	손익센터-백화점	20231231	신관 1F	공사비_인테리어_기타		공사비	인테리어	기타			1100A001	본점_공통	00000120	인테리어																																																																																																																																		
2023	R.23.1100.01-001-001	아디르	R	3. 리뉴얼(MD개편포함)	R.23.1100.01	본점 23년  MD 개편	2023	2023	KRW	234000000	234000000	R.23.1100.01-001	1층	S000		1000	신세계	1100	본점	P100	손익센터-백화점	20231231	신관 1F	공사비_인테리어_기타		공사비	인테리어	기타			1100A001	본점_공통	00000120	인테리어																																																																																																																																		
2023	R.23.1100.01-005-002	베딩	R	3. 리뉴얼(MD개편포함)	R.23.1100.01	본점 23년  MD 개편	2023	2023	KRW	234000000	234000000	R.23.1100.01-005	7층	S000		1000	신세계	1100	본점	P100	손익센터-백화점	20231231	신관 7F	공사비_인테리어_기타		공사비	인테리어	기타			1100A001	본점_공통	00000120	인테리어																																																																																																																																		
2023	R.23.1100.01-005-001	로쉐보보아, 카르텔	R	3. 리뉴얼(MD개편포함)	R.23.1100.01	본점 23년  MD 개편	2023	2023	KRW	234000000	234000000	R.23.1100.01-005	7층	S000		1000	신세계	1100	본점	P100	손익센터-백화점	20231231	신관 7F	공사비_인테리어_기타		공사비	인테리어	기타			1100A001	본점_공통	00000120	인테리어																																																																																																																																		
2023	R.23.1100.01-004-001	인샵 MD	R	3. 리뉴얼(MD개편포함)	R.23.1100.01	본점 23년  MD 개편	2023	2023	KRW	234000000	234000000	R.23.1100.01-004	5층	S000		1000	신세계	1100	본점	P100	손익센터-백화점	20231231	신관 5F	공사비_인테리어_기타		공사비	인테리어	기타			1100A001	본점_공통	00000120	인테리어																																																																																																																																		
2023	M.23.1106.01-001-021	승강설비 노후 부품 교체 공사	M	4. 유지보수구매	M.23.1106.01	센텀시티점 보수유지	2023	2023	KRW	8955000000	8955000000	M.23.1106.01-001	노후시설	S000		1000	신세계	1106	센텀시티점	P100	손익센터-백화점	20231231	노후시설	-							1106A001	센텀시티점_공통	00000160	공기구비품																																																																																																																																		
2023	M.23.1106.01-001-020	에스켈리에터 핸드레일 교체 공사	M	4. 유지보수구매	M.23.1106.01	센텀시티점 보수유지	2023	2023	KRW	8955000000	8955000000	M.23.1106.01-001	노후시설	S000		1000	신세계	1106	센텀시티점	P100	손익센터-백화점	20231231	노후시설	-							1106A001	센텀시티점_공통	00000160	공기구비품																																																																																																																																		
2023	M.23.1106.01-001-031	VIP라운지 커피머신 구입 (6층 유아동반라운지)	M	4. 유지보수구매	M.23.1106.01	센텀시티점 보수유지	2023	2023	KRW	8955000000	8955000000	M.23.1106.01-001	노후시설	S000		1000	신세계	1106	센텀시티점	P100	손익센터-백화점	20231231	노후시설	-							1106A001	센텀시티점_공통	00000160	공기구비품																																																																																																																																		
